[07-29-2023 16:10:19] INFO // api.api_connexion // ThreadPoolExecutor-0_9// Success after 1 tries ==> URL: https://api.piste.gouv.fr/cassation/judilibre/v1.0/export?batch=15&batch_size=50&jurisdiction=cc&date_start=2023
[07-29-2023 16:10:19] INFO // api.api_connexion // ThreadPoolExecutor-0_5// Success after 1 tries ==> URL: https://api.piste.gouv.fr/cassation/judilibre/v1.0/export?batch=13&batch_size=50&jurisdiction=cc&date_start=2023
[07-29-2023 16:10:19] INFO // api.api_connexion // ThreadPoolExecutor-0_0// Success after 1 tries ==> URL: https://api.piste.gouv.fr/cassation/judilibre/v1.0/export?batch=17&batch_size=50&jurisdiction=cc&date_start=2023
[07-29-2023 16:10:19] INFO // api.api_connexion // ThreadPoolExecutor-0_2// Success after 1 tries ==> URL: https://api.piste.gouv.fr/cassation/judilibre/v1.0/export?batch=14&batch_size=50&jurisdiction=cc&date_start=2023
[07-29-2023 16:10:19] INFO // api.api_connexion // ThreadPoolExecutor-0_7// Success after 1 tries ==> URL: https://api.piste.gouv.fr/cassation/judilibre/v1.0/export?batch=20&batch_size=50&jurisdiction=cc&date_start=2023
[07-29-2023 16:10:20] INFO // api.api_connexion // ThreadPoolExecutor-0_8// Success after 1 tries ==> URL: https://api.piste.gouv.fr/cassation/judilibre/v1.0/export?batch=19&batch_size=50&jurisdiction=cc&date_start=2023
[07-29-2023 16:10:20] INFO // api.api_connexion // ThreadPoolExecutor-0_4// Success after 1 tries ==> URL: https://api.piste.gouv.fr/cassation/judilibre/v1.0/export?batch=21&batch_size=50&jurisdiction=cc&date_start=2023
[07-29-2023 16:10:20] INFO // api.api_connexion // ThreadPoolExecutor-0_9// Success after 1 tries ==> URL: https://api.piste.gouv.fr/cassation/judilibre/v1.0/export?batch=24&batch_size=50&jurisdiction=cc&date_start=2023
[07-29-2023 16:10:20] INFO // api.api_connexion // ThreadPoolExecutor-0_1// Success after 1 tries ==> URL: https://api.piste.gouv.fr/cassation/judilibre/v1.0/export?batch=23&batch_size=50&jurisdiction=cc&date_start=2023
[07-29-2023 16:10:20] INFO // api.api_connexion // ThreadPoolExecutor-0_3// Success after 1 tries ==> URL: https://api.piste.gouv.fr/cassation/judilibre/v1.0/export?batch=22&batch_size=50&jurisdiction=cc&date_start=2023
